frequency,recency,T,monetary_value
15.0,21.0,22.0,2.49
0.0,0.0,10.0,0.0
0.0,0.0,27.0,0.0
0.0,0.0,28.0,0.0
0.0,0.0,28.0,0.0
0.0,0.0,25.0,0.0
1.0,1.0,31.0,2.49
0.0,0.0,21.0,0.0
25.0,25.0,29.0,2.49
3.0,24.0,26.0,3.3200000000000003
1.0,1.0,31.0,2.49
0.0,0.0,22.0,0.0
26.0,26.0,27.0,2.49
3.0,3.0,21.0,2.49
5.0,7.0,32.0,3.4859999999999998
19.0,19.0,24.0,2.7521052631578953
0.0,0.0,32.0,0.0
0.0,0.0,25.0,0.0
0.0,0.0,21.0,0.0
6.0,28.0,29.0,2.49
2.0,2.0,32.0,2.49
0.0,0.0,25.0,0.0
1.0,1.0,24.0,2.49
0.0,0.0,26.0,0.0
3.0,6.0,23.0,2.49
10.0,10.0,31.0,3.2370000000000005
8.0,8.0,28.0,2.49
1.0,1.0,28.0,2.49
0.0,0.0,18.0,0.0
21.0,21.0,24.0,2.6085714285714285
1.0,1.0,31.0,2.49
9.0,9.0,19.0,2.49
29.0,30.0,31.0,2.49
0.0,0.0,30.0,0.0
0.0,0.0,22.0,0.0
0.0,0.0,21.0,0.0
1.0,1.0,22.0,2.49
0.0,0.0,25.0,0.0
7.0,8.0,22.0,2.4899999999999998
0.0,0.0,21.0,0.0
8.0,8.0,26.0,2.49
0.0,0.0,24.0,0.0
1.0,1.0,32.0,2.49
17.0,20.0,21.0,2.49
0.0,0.0,26.0,0.0
19.0,22.0,22.0,2.49
21.0,23.0,25.0,2.49
2.0,6.0,16.0,2.49
0.0,0.0,27.0,0.0
16.0,16.0,22.0,2.49
1.0,1.0,32.0,2.49
0.0,0.0,31.0,0.0
0.0,0.0,32.0,0.0
24.0,26.0,26.0,2.49
4.0,4.0,21.0,2.49
16.0,17.0,32.0,2.49
11.0,14.0,24.0,2.49
0.0,0.0,30.0,0.0
0.0,0.0,26.0,0.0
7.0,7.0,29.0,2.4899999999999998
9.0,9.0,23.0,2.49
1.0,1.0,23.0,2.49
1.0,1.0,32.0,2.49
1.0,1.0,30.0,2.49
2.0,2.0,24.0,2.49
0.0,0.0,23.0,0.0
2.0,2.0,32.0,2.49
0.0,0.0,24.0,0.0
1.0,20.0,30.0,2.49
1.0,1.0,25.0,2.49
0.0,0.0,20.0,0.0
0.0,0.0,26.0,0.0
0.0,0.0,31.0,0.0
18.0,21.0,22.0,2.49
9.0,9.0,22.0,2.49
0.0,0.0,31.0,0.0
8.0,9.0,19.0,2.49
3.0,3.0,31.0,2.49
8.0,8.0,26.0,2.49
0.0,0.0,25.0,0.0
0.0,0.0,31.0,0.0
6.0,6.0,30.0,2.49
0.0,0.0,20.0,0.0
3.0,3.0,33.0,2.49
1.0,1.0,31.0,2.49
0.0,0.0,31.0,0.0
2.0,2.0,23.0,2.49
1.0,1.0,32.0,2.49
23.0,24.0,24.0,2.49
17.0,22.0,23.0,2.49
0.0,0.0,25.0,0.0
9.0,9.0,26.0,2.49
8.0,8.0,33.0,3.42375
0.0,0.0,24.0,0.0
16.0,21.0,22.0,2.49
19.0,19.0,20.0,2.49
0.0,0.0,32.0,0.0
0.0,0.0,22.0,0.0
